Working on data:  bbbp
1026 117 142 285
Starting upsampling for data: bbbp
Model loaded!!
DisentGNN(
  (gnn): MultiViewGCN(
    (conv1): GCNConv(9, 32)
    (conv2): GCNConv(32, 64)
    (conv3): GCNConv(64, 64)
    (lin1): Linear(in_features=64, out_features=32, bias=True)
    (lin2): Linear(in_features=32, out_features=64, bias=True)
  )
  (mlp_z1): Linear(in_features=64, out_features=16, bias=True)
  (mlp_z2): Linear(in_features=64, out_features=16, bias=True)
  (lin1): Linear(in_features=16, out_features=32, bias=True)
  (lin2): Linear(in_features=16, out_features=32, bias=True)
  (target_lin): Linear(in_features=32, out_features=1, bias=True)
  (sensitive_lin): Linear(in_features=32, out_features=9, bias=True)
  (layer_norm_1): LayerNorm((1,), eps=1e-05, elementwise_affine=True)
  (layer_norm_2): LayerNorm((9,), eps=1e-05, elementwise_affine=True)
  (layer_norm_3): LayerNorm((16,), eps=1e-05, elementwise_affine=True)
  (batch_norm): BatchNorm1d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
Criterion name:  pair_loss_cos
/scratch/zheng/conda/envs/my_env/lib/python3.8/site-packages/torch_geometric/deprecation.py:22: UserWarning: 'data.DataLoader' is deprecated, use 'loader.DataLoader' instead
  warnings.warn(out)
Epoch: 47, trloss: 1.0726, trroc: 0.8290, trf1: 0.7128, tracc: 0.7670, valloss: 0.6646, valroc: 0.7961, valf1: 0.7261, valacc: 0.6325, testloss_1: 0.5973, testroc_1: 0.8523, testf1_1: 0.7795, testacc_1: 0.6972, testloss_2: 1.0183, testroc_2: 0.6671, testf1_2: 0.5690, testacc_2: 0.4737.
Epoch: 48, trloss: 1.0658, trroc: 0.8327, trf1: 0.7329, tracc: 0.7745, valloss: 0.6197, valroc: 0.7925, valf1: 0.7261, valacc: 0.6325, testloss_1: 0.5493, testroc_1: 0.8547, testf1_1: 0.8276, testacc_1: 0.7535, testloss_2: 0.8858, testroc_2: 0.6800, testf1_2: 0.6264, testacc_2: 0.5228.
Epoch: 49, trloss: 1.0806, trroc: 0.8260, trf1: 0.7309, tracc: 0.7418, valloss: 0.5147, valroc: 0.7897, valf1: 0.7976, valacc: 0.7094, testloss_1: 0.4517, testroc_1: 0.8516, testf1_1: 0.8626, testacc_1: 0.7958, testloss_2: 0.7736, testroc_2: 0.6709, testf1_2: 0.6613, testacc_2: 0.5544.
Epoch: 50, trloss: 1.0511, trroc: 0.8397, trf1: 0.7444, tracc: 0.7691, valloss: 0.5603, valroc: 0.8010, valf1: 0.7805, valacc: 0.6923, testloss_1: 0.5198, testroc_1: 0.8533, testf1_1: 0.8406, testacc_1: 0.7676, testloss_2: 0.8895, testroc_2: 0.6749, testf1_2: 0.6301, testacc_2: 0.5263.
Epoch: 51, trloss: 1.0388, trroc: 0.8378, trf1: 0.7202, tracc: 0.7745, valloss: 0.6630, valroc: 0.7972, valf1: 0.7179, valacc: 0.6239, testloss_1: 0.5966, testroc_1: 0.8581, testf1_1: 0.7795, testacc_1: 0.6972, testloss_2: 0.9740, testroc_2: 0.6851, testf1_2: 0.5955, testacc_2: 0.4947.
Epoch: 52, trloss: 1.0517, trroc: 0.8397, trf1: 0.6952, tracc: 0.7680, valloss: 0.7113, valroc: 0.8046, valf1: 0.6842, valacc: 0.5897, testloss_1: 0.6448, testroc_1: 0.8626, testf1_1: 0.7668, testacc_1: 0.6831, testloss_2: 0.9665, testroc_2: 0.6925, testf1_2: 0.5266, testacc_2: 0.4386.
Epoch: 53, trloss: 1.0227, trroc: 0.8429, trf1: 0.7454, tracc: 0.7568, valloss: 0.5216, valroc: 0.8018, valf1: 0.8235, valacc: 0.7436, testloss_1: 0.5007, testroc_1: 0.8513, testf1_1: 0.8732, testacc_1: 0.8099, testloss_2: 0.8419, testroc_2: 0.6855, testf1_2: 0.6523, testacc_2: 0.5474.
Epoch: 54, trloss: 1.0099, trroc: 0.8445, trf1: 0.7292, tracc: 0.7761, valloss: 0.6415, valroc: 0.8008, valf1: 0.7342, valacc: 0.6410, testloss_1: 0.5715, testroc_1: 0.8615, testf1_1: 0.8218, testacc_1: 0.7465, testloss_2: 0.9045, testroc_2: 0.6709, testf1_2: 0.6339, testacc_2: 0.5298.
Epoch: 55, trloss: 1.0152, trroc: 0.8483, trf1: 0.7463, tracc: 0.7809, valloss: 0.6058, valroc: 0.7995, valf1: 0.7654, valacc: 0.6752, testloss_1: 0.5461, testroc_1: 0.8578, testf1_1: 0.8333, testacc_1: 0.7606, testloss_2: 0.8903, testroc_2: 0.6906, testf1_2: 0.6339, testacc_2: 0.5298.
Epoch: 56, trloss: 1.0336, trroc: 0.8500, trf1: 0.7402, tracc: 0.7846, valloss: 0.6043, valroc: 0.8077, valf1: 0.7500, valacc: 0.6581, testloss_1: 0.5704, testroc_1: 0.8615, testf1_1: 0.8000, testacc_1: 0.7183, testloss_2: 0.8672, testroc_2: 0.6962, testf1_2: 0.5994, testacc_2: 0.4982.
Epoch: 57, trloss: 0.9974, trroc: 0.8540, trf1: 0.7473, tracc: 0.7467, valloss: 0.4516, valroc: 0.8157, valf1: 0.8539, valacc: 0.7778, testloss_1: 0.4372, testroc_1: 0.8653, testf1_1: 0.8959, testacc_1: 0.8380, testloss_2: 0.7076, testroc_2: 0.6817, testf1_2: 0.7194, testacc_2: 0.6140.
Epoch: 58, trloss: 0.9903, trroc: 0.8500, trf1: 0.7581, tracc: 0.7878, valloss: 0.5827, valroc: 0.8137, valf1: 0.7952, valacc: 0.7094, testloss_1: 0.5635, testroc_1: 0.8557, testf1_1: 0.8333, testacc_1: 0.7606, testloss_2: 1.0421, testroc_2: 0.6746, testf1_2: 0.6226, testacc_2: 0.5193.
